Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,squarewave      ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
2,ramp            ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
3,pulse           ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
4,ECG             ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
5,noise           ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
6,sine 1 Hz       ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
7,sine 8 Hz       ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
8,sine 8.5 Hz     ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
9,sine 15 Hz      ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
10,sine 17 Hz      ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
11,sine 50 Hz      ,                                                                                ,uV      ,-1000.000000,1000.000000,-8388608,8388607,                                                                                ,200,                                
